,"Total, 16
years and
 over","16 to 19 
years","20 to 24 
years","25 to 34 
years","35 to 44 
years","45 to 54 
years","55 to 64 
years","65 years
and over","Median
 age"
Total employed,"143,929","4,458","13,599","31,242","30,650","32,523","23,776","7,681",42.4
"Management, professional, and related occupations","54,712",326,"2,777","12,084","12,993","13,206","10,055","3,271",44.4
"Management, business, and financial operations occupations","22,794",71,840,"4,321","5,342","6,117","4,544","1,558",46.4
Management occupations,"16,037",51,463,"2,702","3,762","4,501","3,378","1,180",47.5
Chief executives,"1,520",0,9,107,312,505,420,167,52.5
General and operations managers,"1,075",0,22,202,283,337,187,44,45.6
Legislators,13,0,1,1,1,5,2,3,–
Advertising and promotions managers,51,0,4,17,11,8,9,1,40.3
Marketing and sales managers,907,5,30,225,249,241,133,24,42.8
Public relations and fundraising managers,55,0,2,23,9,13,6,1,41.1
Administrative services managers,113,0,3,10,29,32,31,8,49.4
Computer and information systems managers,602,0,12,108,199,182,90,12,44.3
Financial managers,"1,218",4,41,299,296,328,208,41,43.8
Compensation and benefits managers,12,0,0,0,3,6,3,0,–
Human resources managers,219,0,6,42,66,61,37,7,44.3
Training and development managers,34,0,4,6,10,8,5,1,–
Industrial production managers,256,0,5,37,70,82,56,7,47.6
Purchasing managers,184,0,3,33,47,50,42,9,47.5
"Transportation, storage, and distribution managers",264,1,8,53,62,88,46,7,45.8
"Farmers, ranchers, and other agricultural managers",929,8,27,95,111,177,242,270,56.1
Construction managers,821,1,20,151,191,224,184,50,46.9
Education administrators,804,0,17,112,197,233,200,45,48.1
Architectural and engineering managers,121,0,0,12,32,48,26,3,49.7
Food service managers,"1,077",22,127,269,249,224,146,40,40.0
Funeral service managers,12,0,0,2,0,4,3,3,–
Gaming managers,17,0,2,3,6,3,2,1,–
Lodging managers,143,0,4,26,33,29,31,20,47.1
Medical and health services managers,585,1,13,83,147,162,145,34,48.3
Natural sciences managers,14,0,0,2,3,5,3,1,–
Postmasters and mail superintendents,31,0,1,3,5,10,10,1,–
"Property, real estate, and community association managers",654,0,15,96,128,172,154,90,50.8
Social and community service managers,332,1,10,66,75,76,78,27,47.5
Emergency management directors,7,0,1,0,2,0,4,0,–
"Managers, all other","3,969",8,79,618,934,"1,191",876,263,48.4
Business and financial operations occupations,"6,757",20,377,"1,620","1,580","1,616","1,166",378,43.6
"Agents and business managers of artists, performers, and athletes",59,2,10,17,12,6,8,4,37.0
"Buyers and purchasing agents, farm products",14,0,0,6,2,1,3,1,–
"Wholesale and retail buyers, except farm products",215,2,18,55,42,52,37,9,41.4
"Purchasing agents, except wholesale, retail, and farm products",271,1,10,46,64,79,59,12,46.9
"Claims adjusters, appraisers, examiners, and investigators",329,0,9,81,92,80,55,12,43.4
Compliance officers,195,0,4,41,40,53,45,12,48.0
Cost estimators,123,0,5,18,32,29,32,8,46.7
Human resources workers,584,1,34,150,158,133,81,26,42.2
"Compensation, benefits, and job analysis specialists",83,0,4,17,26,17,15,3,43.6
Training and development specialists,119,0,7,34,24,27,22,4,42.5
Logisticians,88,0,8,22,9,27,20,3,46.1
Management analysts,811,1,34,156,168,203,167,82,47.2
"Meeting, convention, and event planners",130,0,15,45,22,28,14,7,37.6
Fundraisers,81,2,5,17,24,13,17,3,42.9
Market research analysts and marketing specialists,241,1,24,75,54,50,26,9,38.5
"Business operations specialists, all other",195,2,13,46,43,46,37,9,43.7
Accountants and auditors,"1,814",4,87,451,442,443,293,94,43.2
Appraisers and assessors of real estate,98,0,3,19,16,29,24,7,49.9
Budget analysts,62,0,3,14,14,19,11,2,43.8
Credit analysts,30,0,3,11,7,6,3,0,–
Financial analysts,105,0,9,33,32,20,10,2,38.7
Personal financial advisors,383,1,25,89,92,85,60,31,43.5
Insurance underwriters,94,0,5,22,20,22,22,3,45.0
Financial examiners,14,0,4,1,3,2,4,1,–
Credit counselors and loan officers,365,1,24,97,94,82,59,9,42.3
"Tax examiners and collectors, and revenue agents",60,0,0,14,13,25,7,1,45.6
Tax preparers,97,0,2,17,15,22,21,20,51.3
"Financial specialists, all other",94,1,11,26,21,18,13,5,40.5
Professional and related occupations,"31,917",255,"1,936","7,762","7,651","7,089","5,511","1,713",43.1
Computer and mathematical occupations,"3,980",20,235,"1,062","1,143",946,476,98,41.1
Computer and information research scientists,18,0,1,4,4,5,3,0,–
Computer systems analysts,534,1,36,132,152,125,76,11,41.6
Information security analysts,48,0,4,8,16,12,7,2,–
Computer programmers,489,2,25,105,146,129,68,14,42.8
"Software developers, applications and systems software","1,103",6,49,332,320,260,117,19,40.6
Web developers,192,1,22,60,60,36,12,2,37.5
Computer support specialists,517,5,46,150,125,107,71,12,40.1
Database administrators,98,0,2,24,30,30,11,1,42.0
Network and computer systems administrators,205,0,10,61,68,38,25,2,40.1
Computer network architects,135,0,2,27,50,41,12,3,42.3
"Computer occupations, all other",410,4,28,96,116,105,43,19,41.5
Actuaries,28,0,4,7,7,6,3,1,–
Mathematicians,1,0,0,0,1,0,0,0,–
Operations research analysts,128,0,3,35,26,35,17,11,44.8
Statisticians,72,0,5,21,21,13,11,1,40.9
Miscellaneous mathematical science occupations,3,0,0,1,1,1,0,0,–
Architecture and engineering occupations,"2,806",11,163,672,605,712,512,130,44.3
"Architects, except naval",193,0,2,44,49,41,40,18,46.3
"Surveyors, cartographers, and photogrammetrists",39,0,2,16,7,9,6,0,–
Aerospace engineers,144,1,5,32,34,40,27,6,45.1
Agricultural engineers,3,0,0,0,2,0,1,0,–
Biomedical engineers,11,0,0,7,0,2,0,1,–
Chemical engineers,61,0,5,14,11,12,13,5,44.7
Civil engineers,360,0,23,93,74,93,55,20,43.6
Computer hardware engineers,90,0,5,24,26,23,11,1,41.7
Electrical and electronics engineers,300,1,19,66,60,81,59,14,46.2
Environmental engineers,33,1,2,6,7,5,7,3,–
"Industrial engineers, including health and safety",190,1,9,31,43,57,42,7,47.6
Marine engineers and naval architects,11,0,0,3,4,3,2,0,–
Materials engineers,46,0,3,11,8,17,4,3,–
Mechanical engineers,327,1,27,80,75,84,50,10,42.4
"Mining and geological engineers, including mining safety engineers",18,0,1,6,2,3,6,0,–
Nuclear engineers,4,0,0,1,1,1,0,1,–
Petroleum engineers,33,0,5,10,8,5,5,0,–
"Engineers, all other",398,0,16,105,92,92,70,24,44.2
Drafters,125,1,10,33,26,33,21,1,41.6
"Engineering technicians, except drafters",365,4,26,78,66,97,83,12,45.4
Surveying and mapping technicians,54,1,2,14,10,14,10,4,44.7
"Life, physical, and social science occupations","1,307",5,79,330,325,258,236,75,42.8
Agricultural and food scientists,44,0,2,14,12,3,10,2,–
Biological scientists,112,0,8,26,31,21,19,6,42.3
Conservation scientists and foresters,32,0,1,7,6,8,8,2,–
Medical scientists,144,0,4,39,50,26,23,2,42.1
"Life scientists, all other",0,0,0,0,0,0,0,0,–
Astronomers and physicists,14,0,0,4,1,3,1,4,–
Atmospheric and space scientists,14,0,1,1,5,3,2,0,–
Chemists and materials scientists,121,0,7,38,31,24,18,3,39.6
Environmental scientists and geoscientists,94,0,4,25,17,28,16,4,44.4
"Physical scientists, all other",158,0,6,31,52,39,21,9,43.2
Economists,34,0,0,7,12,6,6,3,–
Survey researchers,3,0,0,1,1,1,0,0,–
Psychologists,186,1,2,32,41,37,49,25,49.5
Sociologists,5,0,0,5,0,0,0,0,–
Urban and regional planners,20,0,0,5,8,2,3,0,–
Miscellaneous social scientists and related workers,57,0,3,14,15,10,9,6,43.1
Agricultural and food science technicians,28,1,3,13,2,3,6,0,–
Biological technicians,21,0,1,7,4,6,3,0,–
Chemical technicians,61,0,3,17,10,12,14,4,45.3
Geological and petroleum technicians,22,0,2,7,3,5,5,1,–
Nuclear technicians,1,0,0,0,1,0,0,0,–
Social science research assistants,2,0,0,1,0,1,0,0,–
"Miscellaneous life, physical, and social science technicians",133,2,30,34,22,20,20,2,35.4
Community and social service occupations,"2,332",24,117,551,546,482,439,173,43.9
Counselors,727,11,35,181,171,152,130,46,43.2
Social workers,727,1,36,203,195,150,111,32,41.4
Probation officers and correctional treatment specialists,105,0,2,25,39,28,9,1,42.9
Social and human service assistants,127,4,14,30,26,21,26,7,42.5
"Miscellaneous community and social service specialists, including health educators and community health workers",106,2,7,24,27,22,20,4,41.9
Clergy,410,2,12,61,67,91,113,64,51.8
"Directors, religious activities and education",57,0,5,13,11,11,13,4,45.0
