,"Total, 16
years and
 over","16 to 19 
years","20 to 24 
years","25 to 34 
years","35 to 44 
years","45 to 54 
years","55 to 64 
years","65 years
and over","Median
 age"
Total employed,"146,305","4,548","13,894","31,975","30,966","32,556","24,395","7,971",42.3
"Management, professional, and related occupations","56,050",323,"3,052","12,587","13,278","13,205","10,164","3,441",44.1
"Management, business, and financial operations occupations","23,171",64,963,"4,431","5,471","6,058","4,588","1,596",45.9
Management occupations,"16,199",45,520,"2,753","3,847","4,484","3,366","1,183",47.0
Chief executives,"1,603",1,11,134,289,518,487,163,52.3
General and operations managers,887,0,25,177,233,260,161,31,45.1
Legislators,17,0,1,1,5,3,3,5,–
Advertising and promotions managers,52,0,4,23,11,8,5,1,35.2
Marketing and sales managers,917,0,40,227,263,225,137,26,42.4
Public relations and fundraising managers,71,0,4,21,13,16,17,2,46.0
Administrative services managers,134,1,3,15,29,39,40,8,49.9
Computer and information systems managers,629,1,5,111,195,195,103,18,44.9
Financial managers,"1,194",0,41,259,303,330,210,50,44.3
Compensation and benefits managers,17,0,0,2,2,9,4,0,–
Human resources managers,236,0,5,30,72,80,39,10,45.7
Training and development managers,38,0,2,8,14,8,6,0,–
Industrial production managers,273,0,5,39,70,88,63,8,47.6
Purchasing managers,193,0,5,35,51,49,44,9,47.6
"Transportation, storage, and distribution managers",260,1,11,59,74,64,41,10,43.4
"Farmers, ranchers, and other agricultural managers",941,5,24,99,123,182,237,271,55.6
Construction managers,711,1,14,123,198,200,142,33,46.1
Education administrators,838,1,17,133,236,226,187,38,46.2
Architectural and engineering managers,122,0,0,16,26,48,29,2,50.1
Food service managers,"1,113",21,143,287,269,208,144,41,39.0
Funeral service managers,13,0,0,2,2,4,2,4,–
Gaming managers,28,0,3,3,8,8,5,1,–
Lodging managers,146,1,13,28,32,36,25,11,44.6
Medical and health services managers,593,0,9,99,155,160,137,33,47.1
Natural sciences managers,18,0,0,1,7,5,2,2,–
Postmasters and mail superintendents,33,0,3,3,7,11,7,1,–
"Property, real estate, and community association managers",674,1,23,117,133,148,164,89,49.7
Social and community service managers,362,2,13,76,77,89,74,30,47.0
Emergency management directors,8,0,0,0,3,1,3,1,–
"Managers, all other","4,075",9,96,626,948,"1,265",848,284,47.9
Business and financial operations occupations,"6,972",19,442,"1,678","1,623","1,574","1,222",413,43.4
