,"Total, 16
years and
 over","16 to 19 
years","20 to 24 
years","25 to 34 
years","35 to 44 
years","45 to 54 
years","55 to 64 
years","65 years
and over","Median
 age"
Total employed,"151,436","4,965","14,027","33,722","31,562","32,720","25,524","8,916",42.2
"Management, professional, and related occupations","59,438",396,"3,118","13,561","13,926","13,818","10,689","3,931",44.0
"Management, business, and financial operations occupations","24,941",87,938,"4,931","5,772","6,424","4,929","1,860",46.0
Management occupations,"17,418",64,532,"3,031","4,097","4,758","3,539","1,395",46.9
Chief executives,"1,649",2,11,120,309,560,449,198,52.2
General and operations managers,949,2,34,231,261,245,141,35,43.2
Legislators,20,0,0,2,7,3,2,6,–
Advertising and promotions managers,67,0,2,27,12,18,2,4,37.2
Marketing and sales managers,"1,066",7,52,261,283,263,166,35,42.5
Public relations and fundraising managers,62,0,2,19,17,16,8,1,42.8
Administrative services managers,181,1,6,29,29,63,44,9,49.0
Computer and information systems managers,597,1,9,95,178,202,95,18,45.5
Financial managers,"1,197",2,31,251,340,321,196,57,44.4
Compensation and benefits managers,20,0,0,5,6,5,4,0,–
Human resources managers,287,0,6,44,97,84,44,11,44.6
Training and development managers,58,1,2,10,14,18,11,0,45.4
Industrial production managers,275,0,6,44,66,85,63,11,48.4
Purchasing managers,203,0,8,29,45,50,56,14,48.1
"Transportation, storage, and distribution managers",299,1,15,60,78,80,51,13,43.7
"Farmers, ranchers, and other agricultural managers","1,042",8,25,122,139,192,264,293,55.6
Construction managers,812,4,14,140,177,237,188,54,48.5
Education administrators,954,5,24,134,260,280,176,76,46.2
Architectural and engineering managers,136,0,0,16,39,39,34,7,48.9
Food service managers,"1,157",20,140,303,228,254,165,47,40.2
Funeral service managers,15,0,0,3,4,2,4,2,–
Gaming managers,16,0,1,5,4,3,2,1,–
Lodging managers,166,2,9,35,42,39,28,11,43.6
Medical and health services managers,593,0,11,102,148,165,132,35,47.3
Natural sciences managers,14,0,2,4,4,1,4,0,–
Postmasters and mail superintendents,25,0,1,0,3,10,10,1,–
"Property, real estate, and community association managers",709,1,11,114,141,173,164,106,49.8
Social and community service managers,421,0,20,96,92,93,87,32,44.7
Emergency management directors,10,0,0,1,2,4,3,0,–
"Managers, all other","4,420",7,91,728,"1,073","1,254",947,320,47.5
Business and financial operations occupations,"7,523",22,406,"1,900","1,675","1,666","1,389",465,43.7
"Agents and business managers of artists, performers, and athletes",38,0,3,12,8,6,3,5,–
"Buyers and purchasing agents, farm products",11,1,1,2,1,1,5,1,–
"Wholesale and retail buyers, except farm products",207,4,18,43,33,44,49,17,46.0
"Purchasing agents, except wholesale, retail, and farm products",272,1,13,63,57,65,59,13,45.5
"Claims adjusters, appraisers, examiners, and investigators",349,0,15,88,87,83,63,14,43.6
Compliance officers,270,0,10,50,72,58,65,14,45.7
Cost estimators,113,0,5,25,20,26,29,9,46.5
Human resources workers,693,4,34,210,180,135,105,25,40.9
"Compensation, benefits, and job analysis specialists",77,0,3,19,19,21,15,1,43.3
Training and development specialists,156,1,10,35,33,38,30,8,45.8
Logisticians,115,0,10,38,21,22,22,2,41.0
Management analysts,902,1,37,207,202,199,171,86,45.3
"Meeting, convention, and event planners",162,1,21,50,33,23,25,8,37.9
Fundraisers,86,1,9,21,17,19,15,5,43.4
Market research analysts and marketing specialists,302,2,31,112,64,47,37,9,37.0
"Business operations specialists, all other",290,3,20,54,63,72,59,20,45.7
Accountants and auditors,"1,777",1,87,430,356,433,343,126,45.2
Appraisers and assessors of real estate,73,0,1,6,16,20,22,7,50.4
