,"Total, 16
years and
 over","16 to 19 
years","20 to 24 
years","25 to 34 
years","35 to 44 
years","45 to 54 
years","55 to 64 
years","65 years
and over","Median
 age"
Total employed,"153,337","5,074","14,132","34,439","31,892","32,503","26,064","9,234",42.2
"Management, professional, and related occupations","60,901",435,"3,275","14,130","14,136","13,892","11,020","4,013",43.9
"Management, business, and financial operations occupations","25,379",104,977,"5,124","5,863","6,389","5,071","1,851",45.8
Management occupations,"17,804",75,554,"3,149","4,203","4,751","3,704","1,369",46.7
Chief executives,"1,639",2,4,145,328,505,455,201,52.2
General and operations managers,"1,005",1,28,227,279,254,184,32,43.9
Legislators,18,0,1,2,2,4,5,4,–
Advertising and promotions managers,61,0,3,14,20,12,11,1,43.2
Marketing and sales managers,"1,078",5,51,267,296,272,155,33,42.1
Public relations and fundraising managers,73,0,2,23,17,17,12,1,41.4
Administrative services managers,151,0,1,25,32,42,43,8,49.3
Computer and information systems managers,630,0,13,95,192,192,124,14,45.9
Financial managers,"1,167",1,34,273,302,297,210,51,44.1
Compensation and benefits managers,16,0,0,2,4,5,4,1,–
Human resources managers,327,1,5,65,92,96,54,15,44.4
Training and development managers,63,0,3,10,14,17,17,1,45.5
Industrial production managers,280,0,9,38,67,91,62,13,48.1
Purchasing managers,205,0,13,41,38,61,41,11,46.0
"Transportation, storage, and distribution managers",291,1,9,58,61,87,63,12,46.7
"Farmers, ranchers, and other agricultural managers","1,018",6,24,103,145,190,257,293,55.7
Construction managers,"1,081",4,27,167,256,320,233,75,47.8
Education administrators,918,5,21,146,246,256,183,60,46.3
Architectural and engineering managers,129,0,2,12,35,39,38,4,49.5
Food service managers,"1,210",38,139,336,227,245,180,44,39.3
Funeral service managers,15,0,0,1,2,4,4,5,–
Gaming managers,19,0,0,5,4,5,4,1,–
Lodging managers,156,1,7,35,34,39,29,10,44.3
Medical and health services managers,671,2,13,117,171,194,142,33,46.6
Natural sciences managers,16,0,0,5,3,4,3,2,–
Postmasters and mail superintendents,27,0,1,1,2,11,11,1,–
"Property, real estate, and community association managers",743,0,20,122,146,193,166,96,49.2
Social and community service managers,390,0,14,79,93,90,79,34,45.4
Emergency management directors,11,0,1,3,1,2,3,1,–
"Managers, all other","4,398",7,110,731,"1,095","1,206",935,314,47.0
Business and financial operations occupations,"7,574",29,423,"1,975","1,660","1,639","1,367",482,43.3
"Agents and business managers of artists, performers, and athletes",50,0,7,14,9,11,6,4,39.7
"Buyers and purchasing agents, farm products",11,1,0,3,2,2,1,1,–
"Wholesale and retail buyers, except farm products",194,2,13,59,40,36,29,15,41.3
"Purchasing agents, except wholesale, retail, and farm products",270,2,11,52,55,70,63,17,47.1
"Claims adjusters, appraisers, examiners, and investigators",350,1,15,99,79,82,60,15,42.9
Compliance officers,260,1,2,60,68,54,65,10,45.0
Cost estimators,118,0,5,27,26,25,27,9,45.7
Human resources workers,736,5,50,219,185,141,114,22,40.7
"Compensation, benefits, and job analysis specialists",59,0,2,12,17,11,12,5,44.4
Training and development specialists,133,1,11,36,28,26,26,5,41.8
Logisticians,112,0,7,35,25,24,18,3,40.6
Management analysts,937,1,37,208,203,204,195,87,45.8
"Meeting, convention, and event planners",137,2,13,53,17,24,20,7,36.8
Fundraisers,84,3,6,24,20,10,17,5,42.0
Market research analysts and marketing specialists,344,6,39,120,71,65,34,9,37.3
"Business operations specialists, all other",273,0,25,61,75,58,44,10,41.7
Accountants and auditors,"1,804",2,95,454,358,408,341,146,45.1
Appraisers and assessors of real estate,97,0,2,15,22,28,20,11,47.9
Budget analysts,53,0,1,10,11,16,13,2,47.8
Credit analysts,29,0,4,8,9,4,4,0,–
Financial analysts,309,0,24,114,59,63,35,14,38.8
Personal financial advisors,525,0,22,131,129,101,102,39,43.6
Insurance underwriters,104,0,4,28,27,27,16,2,42.2
Financial examiners,15,0,0,6,2,3,3,0,–
Credit counselors and loan officers,353,3,17,88,92,84,55,13,42.2
"Tax examiners and collectors, and revenue agents",65,0,3,16,6,19,15,5,49.6
Tax preparers,107,0,4,12,16,29,25,19,52.4
"Financial specialists, all other",45,0,4,11,9,11,7,4,–
Professional and related occupations,"35,522",331,"2,299","9,006","8,273","7,503","5,949","2,162",42.5
Computer and mathematical occupations,"4,804",28,284,"1,408","1,286","1,020",642,135,40.7
Computer and information research scientists,24,0,1,10,6,4,3,0,–
Computer systems analysts,554,0,34,137,132,136,96,19,42.8
Information security analysts,105,0,6,24,32,26,16,3,42.7
Computer programmers,473,4,27,125,131,113,62,12,41.5
"Software developers, applications and systems software","1,536",5,80,526,433,277,175,40,39.5
Web developers,204,3,15,65,62,36,19,4,38.7
Computer support specialists,532,7,42,164,123,102,81,13,40.0
Database administrators,96,0,5,31,17,26,16,2,42.8
