,"Total, 16
years and
 over","16 to 19 
years","20 to 24 
years","25 to 34 
years","35 to 44 
years","45 to 54 
years","55 to 64 
years","65 years
and over","Median
 age"
Total employed,"139,869","4,327","13,036","30,537","30,270","32,867","22,186","6,647",42.1
"Management, professional, and related occupations","52,547",290,"2,611","11,643","12,574","13,277","9,383","2,768",44.2
"Management, business, and financial operations occupations","21,589",57,777,"4,091","5,274","6,014","4,048","1,329",45.7
Management occupations,"15,250",42,451,"2,574","3,724","4,437","3,003","1,019",46.7
Chief executives,"1,515",1,8,116,291,556,392,150,52.0
General and operations managers,978,1,19,175,253,324,182,25,45.4
Legislators,16,0,0,1,4,3,2,5,–
Advertising and promotions managers,87,0,5,28,23,15,11,3,39.2
Marketing and sales managers,"1,009",4,36,258,301,262,125,24,42.1
Public relations and fundraising managers,63,0,1,16,16,20,9,2,42.1
Administrative services managers,128,2,3,17,25,45,28,8,48.9
Computer and information systems managers,553,0,10,103,199,162,74,6,43.1
Financial managers,"1,107",1,43,242,308,300,176,39,43.6
Compensation and benefits managers,21,0,0,5,4,7,4,0,–
Human resources managers,243,0,7,39,78,71,44,4,45.1
Training and development managers,38,0,1,7,10,9,9,1,–
Industrial production managers,259,1,4,38,76,81,55,4,46.3
Purchasing managers,204,0,2,34,44,73,41,9,48.7
"Transportation, storage, and distribution managers",254,0,13,52,71,68,42,8,43.8
"Farmers, ranchers, and other agricultural managers",978,5,28,92,122,214,253,264,55.9
Construction managers,926,0,18,157,235,294,182,40,46.9
Education administrators,853,0,16,146,224,220,202,45,46.9
Architectural and engineering managers,106,0,1,10,30,39,20,5,47.6
Food service managers,"1,051",15,118,274,232,255,126,31,39.7
Funeral service managers,13,0,0,1,2,5,2,2,–
Gaming managers,23,0,1,2,6,6,6,3,–
Lodging managers,148,1,7,28,32,31,32,16,46.7
Medical and health services managers,529,1,3,73,121,178,134,19,49.6
Natural sciences managers,16,0,0,2,8,4,2,1,–
Postmasters and mail superintendents,40,0,0,1,5,18,13,2,–
"Property, real estate, and community association managers",587,1,13,95,121,146,126,86,49.5
Social and community service managers,329,1,11,54,72,97,71,24,48.2
Emergency management directors,5,0,0,2,1,2,0,0,–
"Managers, all other","3,173",8,84,509,812,931,638,191,46.6
Business and financial operations occupations,"6,339",15,326,"1,516","1,550","1,578","1,044",310,43.3
"Agents and business managers of artists, performers, and athletes",48,0,3,14,10,14,6,0,–
"Buyers and purchasing agents, farm products",12,0,0,2,2,2,4,3,–
"Wholesale and retail buyers, except farm products",170,2,16,47,36,33,28,7,40.7
"Purchasing agents, except wholesale, retail, and farm products",259,2,11,54,64,70,51,6,43.5
"Claims adjusters, appraisers, examiners, and investigators",296,0,16,71,83,74,44,9,42.6
Compliance officers,198,0,3,31,57,59,42,7,45.9
Cost estimators,119,0,7,29,23,28,22,10,44.7
Human resources workers,595,0,30,144,169,146,89,16,42.4
"Compensation, benefits, and job analysis specialists",65,0,2,15,16,13,16,2,44.4
Training and development specialists,130,1,4,25,36,35,25,4,45.0
Logisticians,88,1,10,21,15,26,13,1,41.6
Management analysts,707,2,19,148,151,192,138,57,46.6
"Meeting, convention, and event planners",109,1,17,37,19,18,13,3,37.4
Fundraisers,78,1,10,18,18,18,11,3,41.2
Market research analysts and marketing specialists,205,1,18,83,42,42,14,3,36.4
"Business operations specialists, all other",281,1,18,58,71,65,52,15,43.6
Accountants and auditors,"1,653",1,93,395,408,410,262,85,43.1
Appraisers and assessors of real estate,88,0,2,13,17,26,20,10,50.6
Budget analysts,53,0,2,9,11,17,12,2,45.2
Credit analysts,24,0,3,6,9,5,2,0,–
Financial analysts,84,0,3,28,29,11,8,3,39.3
Personal financial advisors,371,0,14,97,88,86,57,30,43.9
Insurance underwriters,117,0,0,31,29,33,19,4,44.0
Financial examiners,8,0,0,2,1,4,1,0,–
Credit counselors and loan officers,326,0,16,84,91,82,44,8,42.0
"Tax examiners and collectors, and revenue agents",70,0,1,16,12,25,14,1,47.3
Tax preparers,110,0,4,22,17,23,25,18,50.2
"Financial specialists, all other",77,0,3,16,26,20,11,1,43.0
Professional and related occupations,"30,957",234,"1,834","7,552","7,301","7,262","5,335","1,439",43.1
Computer and mathematical occupations,"3,608",14,198,"1,036","1,034",845,408,73,40.5
Computer and information research scientists,20,0,3,7,5,3,2,0,–
Computer systems analysts,447,1,12,109,113,133,64,16,43.1
Information security analysts,44,0,3,12,14,11,5,0,–
Computer programmers,459,4,30,110,131,105,66,14,41.8
"Software developers, applications and systems software","1,044",1,44,331,340,230,87,11,39.4
Web developers,182,1,20,61,58,28,12,2,37.0
Computer support specialists,461,3,40,146,112,90,60,10,39.1
Database administrators,134,0,5,34,34,40,21,1,42.5
Network and computer systems administrators,233,0,9,69,77,52,22,4,40.6
Computer network architects,98,0,2,25,29,30,9,2,42.3
"Computer occupations, all other",306,4,21,81,74,81,37,9,40.8
Actuaries,18,0,1,7,4,3,2,1,–
Mathematicians,2,0,0,1,0,1,0,0,–
Operations research analysts,116,0,6,33,30,28,15,3,41.3
Statisticians,37,0,2,9,14,8,5,0,–
Miscellaneous mathematical science occupations,6,0,0,2,0,2,2,0,–
Architecture and engineering occupations,"2,785",8,139,650,642,755,487,102,43.9
"Architects, except naval",181,0,4,41,36,49,41,10,46.7
"Surveyors, cartographers, and photogrammetrists",42,0,4,13,8,7,10,2,–
Aerospace engineers,144,0,6,36,33,37,27,5,43.9
Agricultural engineers,1,0,0,0,1,0,0,0,–
Biomedical engineers,12,1,3,3,2,3,1,0,–
Chemical engineers,74,0,3,20,19,20,12,1,43.1
Civil engineers,383,0,20,100,87,97,62,17,42.5
Computer hardware engineers,77,1,4,22,20,20,8,3,41.7
Electrical and electronics engineers,309,0,14,73,68,96,47,12,45.0
Environmental engineers,45,0,1,7,11,15,8,1,–
"Industrial engineers, including health and safety",174,0,7,39,46,53,24,5,43.4
Marine engineers and naval architects,9,0,1,2,3,1,1,1,–
Materials engineers,32,0,0,6,11,10,5,0,–
Mechanical engineers,322,0,12,83,78,92,43,14,42.5
"Mining and geological engineers, including mining safety engineers",11,0,2,1,3,2,4,0,–
Nuclear engineers,20,0,2,7,1,3,7,1,–
Petroleum engineers,25,0,3,6,3,6,7,0,–
"Engineers, all other",337,0,14,92,74,83,59,15,43.3
Drafters,147,1,10,31,38,32,31,5,44.0
"Engineering technicians, except drafters",376,4,28,55,83,113,83,10,46.5
Surveying and mapping technicians,62,0,3,14,16,18,8,2,43.1
"Life, physical, and social science occupations","1,303",5,85,366,294,261,229,63,42.3
Agricultural and food scientists,39,0,4,11,4,9,8,2,–
Biological scientists,114,0,5,37,23,23,24,2,42.6
Conservation scientists and foresters,28,0,1,7,2,6,11,1,–
Medical scientists,156,0,9,49,46,29,18,5,39.5
"Life scientists, all other",0,0,0,0,0,0,0,0,–
Astronomers and physicists,20,0,0,8,2,5,3,3,–
Atmospheric and space scientists,7,0,0,3,2,2,0,1,–
Chemists and materials scientists,88,0,4,25,22,20,13,4,42.1
Environmental scientists and geoscientists,98,0,3,24,20,28,19,3,45.0
"Physical scientists, all other",152,0,6,52,41,29,19,5,40.4
Economists,23,0,1,3,6,4,9,0,–
Survey researchers,3,0,0,1,1,1,0,1,–
Psychologists,197,0,2,40,46,35,46,27,48.3
Sociologists,4,0,0,1,2,1,1,0,–
Urban and regional planners,26,0,0,5,6,8,7,1,–
Miscellaneous social scientists and related workers,60,0,4,20,10,10,14,2,42.7
Agricultural and food science technicians,24,0,3,6,6,5,2,1,–
Biological technicians,21,1,2,7,4,4,1,1,–
Chemical technicians,77,0,8,19,19,20,10,1,40.5
Geological and petroleum technicians,10,0,0,3,1,2,2,1,–
Nuclear technicians,3,0,0,1,0,1,1,0,–
Social science research assistants,3,0,0,1,0,1,1,0,–
"Miscellaneous life, physical, and social science technicians",151,3,32,45,32,18,18,4,35.3
Community and social service occupations,"2,352",15,123,536,516,527,489,146,44.8
Counselors,732,8,45,200,149,141,152,37,43.0
Social workers,769,1,28,205,206,174,132,24,42.6
Probation officers and correctional treatment specialists,94,0,4,30,29,20,9,2,40.2
Social and human service assistants,131,3,14,29,22,32,27,5,44.1
"Miscellaneous community and social service specialists, including health educators and community health workers",83,2,10,19,15,20,12,5,42.3
Clergy,414,1,10,39,73,106,128,58,52.5
"Directors, religious activities and education",44,0,4,8,8,14,9,2,–
"Religious workers, all other",85,0,8,7,14,21,21,13,51.5
Legal occupations,"1,770",3,41,387,406,425,378,131,46.1
Lawyers,"1,085",0,2,224,263,255,238,102,47.2
Judicial law clerks,5,0,1,2,1,1,1,0,–
"Judges, magistrates, and other judicial workers",67,0,1,10,10,17,21,8,51.1
Paralegals and legal assistants,404,3,26,112,79,99,73,13,42.8
Miscellaneous legal support workers,209,0,12,39,53,52,45,7,44.8
"Education, training, and library occupations","8,619",92,579,"1,957","1,946","2,013","1,585",446,43.6
Postsecondary teachers,"1,355",5,86,299,270,281,279,135,45.7
Preschool and kindergarten teachers,707,6,92,184,182,142,85,16,39.2
Elementary and middle school teachers,"2,848",7,124,701,741,676,507,92,43.0
Secondary school teachers,"1,136",5,44,289,279,271,205,42,43.2
Special education teachers,388,1,11,102,93,104,65,12,43.3
Other teachers and instructors,812,37,95,157,133,169,146,75,43.7
"Archivists, curators, and museum technicians",48,1,3,5,7,13,16,3,–
Librarians,198,1,10,27,29,46,64,22,52.0
Library technicians,37,6,7,6,5,5,6,2,–
Teacher assistants,950,23,99,163,175,276,178,36,44.9
"Other education, training, and library workers",140,2,9,23,32,30,34,11,46.3
"Arts, design, entertainment, sports, and media occupations","2,779",68,273,711,586,563,419,160,40.9
Artists and related workers,180,1,10,34,49,35,36,16,45.3
Designers,766,5,51,207,170,187,109,36,41.8
Actors,28,3,4,7,5,6,2,2,–
Producers and directors,149,2,15,46,30,31,20,6,40.3
"Athletes, coaches, umpires, and related workers",272,39,59,59,41,40,29,5,30.8
Dancers and choreographers,20,1,8,7,1,2,0,1,–
"Musicians, singers, and related workers",191,3,22,40,39,31,38,18,43.2
"Entertainers and performers, sports and related workers, all other",44,3,7,14,5,3,9,3,–
Announcers,53,0,7,15,12,12,5,2,38.8
"News analysts, reporters and correspondents",70,0,5,24,15,13,12,2,39.7
Public relations specialists,158,1,14,47,36,29,21,10,39.2
Editors,166,1,16,49,31,31,27,11,41.4
Technical writers,60,0,1,8,13,21,12,5,48.5
Writers and authors,218,1,14,49,40,52,40,23,46.1
Miscellaneous media and communication workers,89,2,9,22,17,18,12,9,40.6
Broadcast and sound engineering technicians and radio operators,106,2,13,29,28,18,14,2,39.7
Photographers,148,2,12,41,37,25,25,6,40.6
"Television, video, and motion picture camera operators and editors",57,1,6,16,14,8,9,3,38.4
"Media and communication equipment workers, all other",3,0,0,0,2,1,0,0,–
Healthcare practitioners and technical occupations,"7,740",29,395,"1,908","1,877","1,873","1,341",318,43.3
Chiropractors,56,0,0,9,13,18,10,4,48.0
Dentists,181,0,0,24,44,44,46,22,51.0
Dietitians and nutritionists,102,2,5,20,18,32,20,5,47.7
Optometrists,28,0,0,1,5,7,8,5,–
Pharmacists,274,1,13,80,77,49,38,15,41.1
Physicians and surgeons,822,1,4,168,209,206,157,78,46.3
Physician assistants,82,0,4,31,22,13,10,1,37.6
Podiatrists,6,0,0,0,2,2,2,0,–
Audiologists,19,0,0,4,3,8,3,1,–
Occupational therapists,112,0,1,30,38,27,12,4,41.7
Physical therapists,222,0,11,60,71,57,19,4,40.5
Radiation therapists,14,0,1,4,2,5,1,0,–
Recreational therapists,14,0,1,2,4,4,2,1,–
Respiratory therapists,134,0,6,27,37,37,24,2,44.5
Speech-language pathologists,125,0,6,41,38,18,20,2,40.5
Exercise physiologists,2,0,0,1,0,0,0,0,–
"Therapists, all other",138,0,7,46,31,28,20,5,40.7
Veterinarians,71,1,2,23,16,14,8,8,42.6
Registered nurses,"2,706",3,110,628,641,679,552,94,44.7
Nurse anesthetists,33,0,0,2,8,14,9,0,–
Nurse midwives,5,0,0,0,4,0,1,0,–
Nurse practitioners,100,0,1,13,31,33,21,1,46.9
"Health diagnosing and treating practitioners, all other",26,0,0,4,4,9,7,3,–
Clinical laboratory technologists and technicians,321,1,25,80,66,87,56,6,43.2
Dental hygienists,148,0,5,41,41,33,25,2,42.2
Diagnostic related technologists and technicians,342,0,21,87,84,97,48,5,42.1
Emergency medical technicians and paramedics,185,2,30,81,34,27,8,2,31.8
Health practitioner support technologists and technicians,511,13,86,167,93,96,44,11,34.8
