,"Total, 16
years and
 over","16 to 19 
years","20 to 24 
years","25 to 34 
years","35 to 44 
years","45 to 54 
years","55 to 64 
years","65 years
and over","Median
 age"
Total employed,"155,761","5,126","14,051","35,324","32,616","32,373","26,565","9,705",42.2
"Management, professional, and related occupations","62,436",436,"3,359","14,673","14,572","13,979","11,126","4,291",43.8
"Management, business, and financial operations occupations","25,850",91,"1,005","5,151","6,069","6,362","5,228","1,945",45.9
Management occupations,"18,263",69,565,"3,259","4,411","4,666","3,874","1,420",46.6
Chief executives,"1,573",0,3,147,349,467,413,193,51.5
General and operations managers,"1,037",1,30,235,279,245,204,43,44.1
Legislators,18,0,1,1,3,2,5,7,-1
Advertising and promotions managers,44,0,5,13,14,8,2,1,-1
Marketing and sales managers,"1,083",4,65,269,282,252,176,35,42.3
Public relations and fundraising managers,69,0,1,13,19,21,10,6,45.0
Administrative services managers,161,1,5,19,35,48,45,9,50.0
Computer and information systems managers,623,0,10,96,188,191,122,16,45.9
Financial managers,"1,231",3,34,279,338,298,220,59,44.1
Compensation and benefits managers,23,1,2,2,5,10,2,1,-1
Human resources managers,313,0,7,64,95,94,43,10,43.2
Training and development managers,58,0,1,17,13,15,8,3,43.3
Industrial production managers,264,0,8,45,63,77,61,8,47.2
Purchasing managers,219,0,9,50,53,49,48,10,44.5
"Transportation, storage, and distribution managers",303,1,12,66,57,86,66,15,46.9
"Farmers, ranchers, and other agricultural managers",991,4,16,108,124,160,294,286,56.4
Construction managers,"1,021",1,27,154,281,261,221,75,46.3
Education administrators,955,2,27,149,255,270,191,60,46.4
Architectural and engineering managers,156,0,1,14,49,48,40,4,48.3
Food service managers,"1,273",35,148,324,253,287,177,48,39.8
Funeral service managers,3,0,0,0,0,1,0,1,-1
Gaming managers,28,0,5,4,9,3,5,2,-1
Lodging managers,153,1,5,36,36,35,30,11,44.9
Medical and health services managers,639,1,12,113,167,164,152,30,46.6
Natural sciences managers,9,0,2,2,3,2,1,0,-1
Postmasters and mail superintendents,24,0,0,1,4,9,8,2,-1
"Property, real estate, and community association managers",717,0,19,125,142,150,178,102,49.8
Social and community service managers,437,1,7,93,90,120,93,33,47.4
Emergency management directors,10,0,0,3,1,4,1,1,-1
"Managers, all other","4,827",12,104,815,"1,203","1,287","1,058",347,47.1
Business and financial operations occupations,"7,587",23,440,"1,892","1,658","1,697","1,353",525,43.8
"Agents and business managers of artists, performers, and athletes",54,2,8,10,13,12,7,3,40.6
"Buyers and purchasing agents, farm products",12,0,0,6,2,4,1,0,-1
"Wholesale and retail buyers, except farm products",193,0,13,52,31,40,42,14,45.6
"Purchasing agents, except wholesale, retail, and farm products",244,2,11,47,43,67,56,18,48.6
"Claims adjusters, appraisers, examiners, and investigators",344,0,18,77,90,80,69,11,43.0
Compliance officers,281,2,12,53,75,70,50,19,45.5
Cost estimators,117,1,7,19,27,27,25,11,47.0
Human resources workers,664,2,42,180,172,125,114,28,42.0
"Compensation, benefits, and job analysis specialists",48,0,1,11,14,8,9,5,-1
Training and development specialists,120,2,5,31,21,27,27,7,46.2
Logisticians,128,0,11,39,25,28,20,5,42.8
Management analysts,944,1,33,212,190,217,181,109,46.5
"Meeting, convention, and event planners",126,2,20,42,25,21,15,2,36.3
Fundraisers,96,1,7,28,20,13,20,8,42.2
Market research analysts and marketing specialists,355,1,42,125,79,60,36,12,36.8
"Business operations specialists, all other",236,1,16,49,63,52,39,15,43.4
Accountants and auditors,"1,929",2,105,481,404,454,345,137,44.3
Appraisers and assessors of real estate,84,0,2,9,16,24,22,11,51.4
Budget analysts,51,0,2,12,11,11,12,2,44.2
Credit analysts,26,0,2,10,4,7,3,1,-1
Financial analysts,307,1,27,112,76,51,33,8,37.0
Personal financial advisors,537,1,21,125,128,119,97,45,44.5
Insurance underwriters,119,0,10,27,24,29,25,3,43.1
Financial examiners,13,0,1,4,4,2,0,2,-1
Credit counselors and loan officers,350,1,15,86,74,93,59,23,44.6
"Tax examiners and collectors, and revenue agents",47,0,0,8,5,17,12,5,-1
Tax preparers,113,0,5,26,12,27,24,19,50.8
"Financial specialists, all other",48,0,6,11,10,10,10,1,-1
Professional and related occupations,"36,586",345,"2,354","9,522","8,503","7,617","5,898","2,347",42.4
Computer and mathematical occupations,"5,126",25,330,"1,563","1,333","1,038",692,146,40.4
Computer and information research scientists,19,0,0,10,4,3,2,0,-1
Computer systems analysts,652,2,38,193,162,136,92,29,41.1
Information security analysts,97,1,5,26,34,17,13,3,40.5
Computer programmers,477,3,28,117,111,126,73,18,42.7
"Software developers, applications and systems software","1,682",1,99,595,462,291,200,34,39.3
Web developers,208,3,11,74,61,33,23,4,38.3
Computer support specialists,566,5,62,175,128,104,78,15,39.1
Database administrators,108,1,7,34,16,24,23,3,43.6
Network and computer systems administrators,204,0,4,56,54,52,33,5,42.9
Computer network architects,114,0,1,24,34,33,18,4,42.9
"Computer occupations, all other",732,8,60,189,197,159,95,25,40.8
Actuaries,33,0,1,9,13,9,1,0,-1
Mathematicians,3,0,0,0,3,0,0,0,-1
Operations research analysts,131,0,4,27,27,39,31,4,48.7
Statisticians,90,0,10,30,27,11,8,3,37.7
Miscellaneous mathematical science occupations,8,0,2,3,0,2,1,0,-1
Architecture and engineering occupations,"3,263",17,214,864,698,669,636,165,43.0
"Architects, except naval",239,0,7,63,55,53,43,18,43.8
"Surveyors, cartographers, and photogrammetrists",47,0,2,8,13,6,12,5,-1
Aerospace engineers,147,0,13,44,25,29,30,6,42.2
Agricultural engineers,5,0,1,2,0,2,0,0,-1
Biomedical engineers,11,0,2,3,4,1,2,0,-1
Chemical engineers,72,0,1,19,20,12,15,5,43.8
Civil engineers,456,1,34,149,89,81,71,33,41.0
Computer hardware engineers,71,0,5,21,16,15,11,3,41.6
Electrical and electronics engineers,269,0,12,66,56,65,56,14,45.0
Environmental engineers,36,0,1,8,4,11,9,3,-1
"Industrial engineers, including health and safety",246,1,12,68,57,42,56,10,43.0
Marine engineers and naval architects,17,0,1,7,4,2,4,0,-1
Materials engineers,41,0,3,8,12,9,9,0,-1
Mechanical engineers,333,1,27,95,73,63,62,11,41.1
"Mining and geological engineers, including mining safety engineers",8,0,0,2,0,3,2,0,-1
Nuclear engineers,14,0,1,5,2,3,1,2,-1
Petroleum engineers,27,0,4,6,9,4,4,0,-1
"Engineers, all other",576,1,27,157,137,112,115,27,43.1
Drafters,133,4,15,20,23,35,28,8,45.8
"Engineering technicians, except drafters",439,7,33,98,88,100,95,18,44.5
Surveying and mapping technicians,76,1,13,13,12,23,11,3,41.9
"Life, physical, and social science occupations","1,529",10,135,429,345,283,237,89,41.1
Agricultural and food scientists,37,0,5,12,7,5,7,1,-1
Biological scientists,104,0,9,25,31,20,12,6,40.9
Conservation scientists and foresters,22,1,3,5,7,3,3,0,-1
Medical scientists,169,2,10,58,43,23,30,3,39.8
"Life scientists, all other",1,0,0,0,1,0,0,0,-1
Astronomers and physicists,20,0,2,6,2,5,2,3,-1
Atmospheric and space scientists,12,0,0,5,1,3,2,1,-1
Chemists and materials scientists,118,0,14,29,23,25,21,5,40.9
Environmental scientists and geoscientists,100,1,7,29,23,16,20,5,42.7
"Physical scientists, all other",305,1,19,113,74,51,36,10,38.4
Economists,36,0,1,11,8,7,8,1,-1
Survey researchers,3,0,1,0,1,0,0,1,-1
Psychologists,224,0,1,38,52,63,33,37,48.5
Sociologists,5,0,0,2,3,0,1,0,-1
Urban and regional planners,29,0,3,5,8,11,1,0,-1
Miscellaneous social scientists and related workers,46,1,6,7,5,8,12,7,-1
Agricultural and food science technicians,36,0,6,6,10,7,4,3,-1
Biological technicians,19,0,4,9,3,2,2,0,-1
Chemical technicians,68,1,8,18,16,11,12,0,39.0
Geological and petroleum technicians,12,0,0,3,4,4,1,0,-1
Nuclear technicians,10,0,0,3,0,3,3,1,-1
Social science research assistants,2,0,0,0,0,1,1,0,-1
"Miscellaneous life, physical, and social science technicians",152,4,33,46,23,15,26,5,34.7
Community and social service occupations,"2,680",24,145,646,598,561,483,225,43.9
Counselors,895,14,56,223,223,183,140,56,42.0
Social workers,835,3,40,227,201,186,132,46,42.6
Probation officers and correctional treatment specialists,104,0,2,36,28,29,9,2,39.8
Social and human service assistants,208,4,24,57,36,41,36,10,40.7
"Miscellaneous community and social service specialists, including health educators and community health workers",71,0,3,20,16,12,14,5,43.8
Clergy,415,0,10,54,67,85,111,88,53.4
"Directors, religious activities and education",76,0,7,15,16,13,19,7,47.0
"Religious workers, all other",76,3,4,13,11,12,22,11,50.1
Legal occupations,"1,891",3,39,380,443,424,376,226,46.8
Lawyers,"1,199",1,4,226,307,266,224,172,47.1
Judicial law clerks,13,0,0,9,1,0,1,1,-1
"Judges, magistrates, and other judicial workers",80,0,0,5,12,17,29,17,56.0
Paralegals and legal assistants,444,2,30,104,92,97,93,25,44.4
Miscellaneous legal support workers,156,0,5,36,32,43,28,11,45.8
"Education, training, and library occupations","9,313",122,670,"2,142","2,204","2,085","1,451",639,42.7
